,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
0,,,"CHAMALVAS (BANIHAL), J&K",,,,,,,,,,,,,,,,,,,,,,,,
1,,,"SANJIMORE, DISTT. KATHUA (J &",,,,,,,,,,,,,,,,,,,,,,,,
2,,,"AKHNOOR, DISTT. JAMMU (J & K)",,,,,,,,,,,,,,,,,,,,,,,,
3,,,HARNAG,,,,,,,,,,,,,,,,,,,,,,,,
4,,,IMOH,,,,,,,,,,,,,,,,,,,,,,,,
5,,,JANGLAT MANDI ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
6,,,"COURT ROAD,ANANTNAG",,,,,,,,,,,,,,,,,,,,,,,,
7,,,LAL CHOWK - ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
8,,,DOORU SHAHABAD,,,,,,,,,,,,,,,,,,,,,,,,
9,,,"ANANTNAG, JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
10,,,"CHINIGUND, DOORU",,,,,,,,,,,,,,,,,,,,,,,,
11,,,DEETHU ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
12,,,FRUIT MANDI BATENGOO,,,,,,,,,,,,,,,,,,,,,,,,
13,,,HILLAR ARHAMA,,,,,,,,,,,,,,,,,,,,,,,,
14,,,KHANABAL ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
15,,,VEERI,,,,,,,,,,,,,,,,,,,,,,,,
16,,,ZONAL OFFICE KASHMIR SOUTH TWO,,,,,,,,,,,,,,,,,,,,,,,,
17,,,"ANANTNAG, JK",,,,,,,,,,,,,,,,,,,,,,,,
18,,,DEHWATHU,,,,,,,,,,,,,,,,,,,,,,,,
19,,,SHANKERPORA,,,,,,,,,,,,,,,,,,,,,,,,
20,,,PEER TAKIYA ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
21,,,PANZATH,,,,,,,,,,,,,,,,,,,,,,,,
22,,,BONA BAZAR QAZIGUND,,,,,,,,,,,,,,,,,,,,,,,,
23,,,WANDEVELGAM,,,,,,,,,,,,,,,,,,,,,,,,
24,,,KANELWAN,,,,,,,,,,,,,,,,,,,,,,,,
25,,,MEHIND,,,,,,,,,,,,,,,,,,,,,,,,
26,,,NOWGAM SHANGUS,,,,,,,,,,,,,,,,,,,,,,,,
27,,,SALIA,,,,,,,,,,,,,,,,,,,,,,,,
28,,,SANGAM,,,,,,,,,,,,,,,,,,,,,,,,
29,,,"MATTAN ADDA ANANTNAG, DISTT. A",,,,,,,,,,,,,,,,,,,,,,,,
30,,,BAN TALAB,,,,,,,,,,,,,,,,,,,,,,,,
31,,,CHINAR SHOPING COMPLEX,,,,,,,,,,,,,,,,,,,,,,,,
32,,,ARMY SCHOOL B D BARI CANTT,,,,,,,,,,,,,,,,,,,,,,,,
33,,,MODEL INSTITUTE OF E & R,,,,,,,,,,,,,,,,,,,,,,,,
34,,,BADGAM JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
