,Sr_No.,State,District,Total Households,"Electrified Households as on 10th Oct,2017","Balance Unelectrified Households as on 10th Oct,2017","Household Progress from 10th Oct,2017 to 31th Jan,2019 (a)","Additional Households electrifed from 1st Feb,2019 onwards due to Saubhagya Rath Campaigns, Camps, Control Centre, etc to till date (b)",Total Progress (a+b),Progress on last day (21-08-2019),Balance Un-electrified Households,Household Electrification (%)
0,1,Andaman & Nicobar Island,,,,,,,,,,
1,2,Andhra Pradesh,East Godavari,1860516,1820141,40375,40375,5674,46049,0,0,100.0
2,2,Andhra Pradesh,West Godavari,1137681,1101815,35866,35866,4947,40813,0,0,100.0
3,2,Andhra Pradesh,Guntur,966913,965387,1526,1526,0,1526,0,0,100.0
4,2,Andhra Pradesh,Krishna,946870,946735,135,135,0,135,0,0,100.0
5,2,Andhra Pradesh,Chittoor,892179,889879,2300,2300,0,2300,0,0,100.0
6,2,Andhra Pradesh,Anantapur,818514,809483,9031,9031,0,9031,0,0,100.0
7,2,Andhra Pradesh,Srikakulam,789982,776038,13944,13944,2740,16684,0,0,100.0
8,2,Andhra Pradesh,Prakasam,777095,775297,1798,1798,0,1798,0,0,100.0
9,2,Andhra Pradesh,Visakhapatnam,766059,729821,36238,36238,5475,41713,0,0,100.0
10,2,Andhra Pradesh,Kurnool,729882,724514,5368,5368,0,5368,0,0,100.0
11,2,Andhra Pradesh,Sri Potti Sriramulu Nellore,667843,667192,651,651,0,651,0,0,100.0
12,2,Andhra Pradesh,Vizianagaram,576752,566388,10364,10364,1461,11825,0,0,100.0
13,2,Andhra Pradesh,Kadapa (YSR),512419,508382,4037,4037,0,4037,0,0,100.0
14,3,Arunachal Pradesh,Papum Pare,48085,44478,3607,3607,0,3607,0,0,100.0
15,3,Arunachal Pradesh,Changlang,29622,22729,6893,6893,0,6893,0,0,100.0
16,3,Arunachal Pradesh,Tirap,28243,23578,4665,4665,0,4665,0,0,100.0
17,3,Arunachal Pradesh,Lohit_Namsai,27268,19431,7837,7837,0,7837,0,0,100.0
18,3,Arunachal Pradesh,West Siang,25840,24215,1625,1625,0,1625,0,0,100.0
19,3,Arunachal Pradesh,East Siang,23724,20077,3647,3647,0,3647,0,0,100.0
20,3,Arunachal Pradesh,West Kameng District,21290,20439,851,851,0,851,0,0,100.0
21,3,Arunachal Pradesh,Lower Subansiri,18564,16466,2098,2098,0,2098,0,0,100.0
22,3,Arunachal Pradesh,Upper Subansiri,17593,14757,2836,2836,0,2836,0,0,100.0
23,3,Arunachal Pradesh,Kurung Kumey,15462,11669,3793,3793,0,3793,0,0,100.0
24,3,Arunachal Pradesh,East Kameng District,11611,6529,5082,5082,0,5082,0,0,100.0
25,3,Arunachal Pradesh,Lower Dibang Valley,11402,8614,2788,2788,0,2788,0,0,100.0
26,3,Arunachal Pradesh,Tawang District,9548,9240,308,308,0,308,0,0,100.0
27,3,Arunachal Pradesh,Upper Siang,7226,7068,158,158,0,158,0,0,100.0
28,3,Arunachal Pradesh,Anjaw,5261,4577,684,684,0,684,0,0,100.0
29,3,Arunachal Pradesh,Dibang Valley,1622,1405,217,217,0,217,0,0,100.0
30,4,Assam,Nagaon,574642,481866,92776,92776,5676,98452,0,0,100.0
31,4,Assam,Dhubri,502746,387632,115114,115114,12204,127318,0,0,100.0
32,4,Assam,Barpeta,351423,246847,104576,104576,9735,114311,0,0,100.0
33,4,Assam,Kamrup Metropolitan,350006,341415,8591,8591,77,8668,0,0,100.0
34,4,Assam,Dibrugarh,320172,262832,57340,57340,6725,64065,0,0,100.0
35,4,Assam,Cachar,316372,230990,85382,85382,4214,89596,0,0,100.0
36,4,Assam,Kamrup,308481,239672,68809,68809,6251,75060,0,0,100.0
37,4,Assam,Tinsukia,301537,222947,78590,78590,8236,86826,0,0,100.0
38,4,Assam,Jorhat,286497,247831,38666,38666,2620,41286,0,0,100.0
39,4,Assam,Goalpara,284105,196939,87166,87166,10668,97834,0,0,100.0
40,4,Assam,Karbi Anglong,272840,218198,54642,54642,11474,66116,0,0,100.0
41,4,Assam,Sonitpur,265680,202435,63245,63245,9073,72318,0,0,100.0
42,4,Assam,Karimganj,254307,198492,55815,55815,2478,58293,0,0,100.0
